ComID,Committee,cat1,cat2,IEdesignator
80025,2010 Fund,pac,ie,1
99999,2010/2012 Funds,pac,prodfl,0
41073,2012 Fund,pac,ie,1
40835,21st Century Democrats,pac,prodfl,0
40936,21st Senate District Republican Party,pac,prorpm,0
40986,5th Judicial District Republican Committee,pac,prorpm,0
40403,8th Congressional District COPE AFL-CIO,pac,labor,0
41033,9th Judicial District Committee,pac,,0
41088,A Stronger Minnesota,pac,prorpm,1
70047,ACEC/MN Political Action Committee,pac,issue,0
30644,Action4Liberty,pac,ie,1
30088,AFL-CIO Southeast Central Labor Council,pac,labor,0
30204,AFSCME,pac,labor,0
30596,AFSCME Local 1842 City of St Paul Technicians,pac,labor,0
40752,AFSCME Local 2508 Political,pac,labor,0
30586,AFSCME Local 2822 Political Action,pac,labor,0
30343,AFSCME Local 2938,pac,labor,0
30572,AFSCME Local 306,pac,labor,0
40753,AFSCME Local 34 PEOPLE,pac,labor,0
30243,AFSCME Local 8 People Fund,pac,labor,0
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,pac,labor,0
70024,Aging Services of Minn (fka MHHA PAC),pac,biz,0
40086,Aitkin County DFL Club,pac,prodfl,0
30306,Alarm PAC,pac,,0
40944,Alliance for a Better Minnesota,pac,prodfl,0
80024,Alliance for a Better Minnesota Action Fund,pac,prodfl,1
30074,Amalgamated Transit Union Local 1005,pac,labor,0
40954,America Votes - Minnesota,pac,prodfl,0
41093,America Votes Action Fund - Minnesota,pac,prodfl,1
30657,Americans for Tax Reform Political Fund,pac,issue,1
40281,ARC PAC of Minn,pac,,0
30559,ARM - Political Action Comm,pac,,0
40910,Austin Chamber Business Leadership Committee,pac,biz,0
40683,Automotive Service Political Action Committee,pac,biz,0
30137,BAM-PAC,pac,biz,0
30567,BCA Agents Political Fund,pac,labor,0
30274,Beer PAC-Minn Beer Wholesalers Assoc,pac,biz,0
30170,Bemidji Central Labor Body AFL-CIO Pol Fund,pac,labor,0
30584,Best & Flanagan Political Fund,pac,lawyers,0
30313,Best & Flanagan Political Fund,pac,lawyers,0
40555,Bike PAC,pac,issue,0
30594,Boilermakers 647 Political Action Fund,pac,labor,0
30563,Bois Forte Political Education Fund,pac,indian,0
30205,Bowling Political Action Committee,pac,,0
30179,"Branch 28, NALC Political Action Fund",pac,labor,0
40542,Brotherhood of Locomotive Engineers & Trainmen,pac,labor,0
30617,Building Trades C1 PAC Fund,pac,labor,0
40522,Building Trades C1-PAC Fund,pac,labor,0
70028,Burnsville Chamber PAC,pac,biz,0
40833,Business PAC of Central MN,pac,biz,0
41056,Canary Party of Minnesota,pac,issue,0
41052,Canterbury Park,pac,ie,1
40038,"CAR, Committee of Automotive Retailers",pac,biz,0
30138,CARE / PAC,pac,biz,0
30583,Carpenters Local #606 PAC,pac,labor,0
40782,Carpenters Local 1644 PAC,pac,labor,0
30642,Carpenters Local 322,pac,labor,0
30614,Carpenters Local 464 Political Fund,pac,labor,0
30600,Carpenters Local 930 PAC,pac,labor,0
30592,Carpenters Local Union 361 Pol Fund,pac,labor,0
30548,Carpenters Union Local #87 PAF,pac,labor,0
40247,Central Minn AFL-CIO Trades & Labor Assembly,pac,labor,0
30581,CHG PAC,pac,biz,0
41079,Choice in Minnesota Health Care,pac,ie,1
40822,Choice Voter,pac,,0
40787,Citizens for Effective Government,pac,,0
40976,Citizens for Honest Government,pac,,0
30646,Citizens for Smith,pac,ie,1
40895,Citizens for the Sensible Center,pac,,0
41094,Clean Energy PAC of Iberdrola Renewables LLC,pac,biz,0
30627,Clean Water Action Independent Fund,pac,ie,1
80018,Clean Water Action Voter Education Project,pac,biz,0
30647,CMVC Fund (Conservation MN Voter Center),pac,issue,1
40898,Coalition for Democratic Values,pac,,0
70007,Coalition of MN Businesses PAC,pac,biz,0
80013,COLL PAC,pac,,0
40045,Committee of Thirteen Legislative Fund,pac,labor,0
41045,Committee to Stop Wasteful Spending,pac,prorpm,1
40274,Communication Workers of America Local 7200,pac,labor,0
80008,Conservation Minnesota Voter Fund,pac,issue,0
40855,Constitution Party of Minn,pac,,0
40269,Co-op PAC (fka MAC-PAC),pac,biz,0
30312,Council 65 Political Action Committee,pac,labor,0
41083,Count Them All Properly,pac,prorpm,0
30224,CUVOL,pac,biz,0
80021,CWA COPE PCC,pac,labor,0
30576,CWA Local 7250 Political Fund,pac,labor,0
30575,CWA Minnesota State Council,pac,labor,0
30580,D B I - E - PAG,pac,,0
40491,D&T Better Government Committee,pac,biz,0
70031,Dakota Cnty Regional Chamber Leadership Fund,pac,biz,0
70039,Democrats for Life of Minnesota,pac,prodfl,0
30168,DFL Feminist Caucus - Candidates Fund,pac,prodfl,0
40993,DFL Senior Caucus,pac,prodfl,0
30640,Dominium Political Fund,pac,biz,0
30116,Dorsey Political Fund,pac,lawyers,0
41096,Draft Hann for Governor,pac,ie,1
41018,Draft R T Rybak For Governor,pac,,0
40815,DRIVE- Democrat Republican Ind. Voter Edu.,pac,labor,0
41059,Driving MN,pac,ie,1
30217,Dul Bldg Trades Vol Party Fund,pac,labor,0
40915,Duluth Active & Retired Teachers Group,pac,labor,0
30273,Duluth Central Labor Body COPE Fund,pac,labor,0
30086,Duluth Federation of Teachers Political Fund,pac,labor,0
30096,Duluth FirePAC,pac,labor,0
40171,Duluth Women's Republican Club,pac,prorpm,0
30626,East Central MN Area Labor Council COPE,pac,labor,0
41003,East Central Taxpayers,pac,,0
30609,East Metro ASC LLC PAC (fka Minn Ambulatory Surgery Center Assoc),pac,biz,0
41029,Ecology Democracy Party,pac,issue,0
70019,Ed Action,pac,issue,0
41074,Edina Democrats,pac,prodfl,0
41005,Edinans for Erhardt,pac,candidate,0
30136,Education Minn - Osseo PAC,pac,labor,0
30558,Education Minn PAC,pac,labor,0
40523,Electricians Local 242 IBEW PAC,pac,labor,0
30103,Elementary Principals Action Committee,pac,issue,0
40847,Emilys List - Minn,pac,issue,0
30613,Ewald Political Fund,pac,,0
40985,Excelsior Energy Inc PAC,pac,biz,0
41037,Expose The Truth.com,pac,,0
30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),pac,lawyers,0
41028,Faithful Citizens Political Fund,pac,,0
40991,FEAPAC - MINN,pac,biz,0
30619,Federal Express Minn State Fund,pac,biz,0
30016,Firefighters Assoc of Mpls Political Fund,pac,labor,0
30315,Fond du Lac Committee of Political Ed,pac,indian,0
40019,Food PAC of Minn,pac,biz,0
40742,Freedom Club State PAC,pac,prorpm,0
40943,Friends for Responsible Government,pac,,0
40295,Friends of DFL Women,pac,prodfl,0
40935,Friends of Minn Nurse Anesthetists,pac,labor,0
30639,Friends of MN School Bus Operators Assn,pac,biz,0
