ComID,Committee,cat1,cat2,totspend,gave to pacs,received from pacs
80024,Alliance for a Better Minnesota Action Fund,pac,prodfl,7166803.82,TRUE,TRUE
30625,WIN Minnesota Political Action Fund,pac,prodfl,5697488.3,TRUE,TRUE
99999,2010/2012 Funds,pac,prodfl,3942468.87,TRUE,TRUE
30558,Education Minn PAC,pac,labor,3934330.44,TRUE,TRUE
40742,Freedom Club State PAC,pac,prorpm,2670407.37,FALSE,FALSE
40989,Minnesota's Future,pac,prorpm,2575655.13,TRUE,TRUE
30204,AFSCME,pac,labor,2317688,FALSE,TRUE
30037,SEIU Minn State Council Political Fund,pac,labor,2242378.62,TRUE,TRUE
40712,Laborers District Council of Minn & ND Pol Fund,pac,labor,1825250,TRUE,TRUE
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,pac,labor,1514590.52,TRUE,TRUE
40550,Shakopee Mdewakanton Sioux,pac,indian,1464957,FALSE,TRUE
41035,MN FORWARD,pac,prorpm,1413096.34,TRUE,FALSE
41051,Minnesota Future LLC,pac,prorpm,1346396.63,TRUE,TRUE
40815,DRIVE- Democrat Republican Ind. Voter Edu.,pac,labor,1122688.6,FALSE,TRUE
30348,Mah Mah Wi No Min Fund I,pac,indian,917062.28,FALSE,TRUE
70007,Coalition of MN Businesses PAC,pac,biz,888732.36,TRUE,TRUE
30245,Minn Nurses Assn Pol Comm (MNA-PC),pac,labor,862543.98,FALSE,TRUE
41047,Pro Jobs Majority,pac,biz,784939.76,TRUE,TRUE
30025,Minn AFL-CIO,pac,labor,770729.54,TRUE,TRUE
30561,North Central States Carpenters PAC,pac,labor,680014.93,TRUE,TRUE
70004,Minn Business Partnership PAC,pac,biz,674392.61,TRUE,TRUE
30555,Prairie Island Indian Community PAC,pac,indian,649179,FALSE,TRUE
30058,International Union of Operating Engineers,pac,labor,615642.78,TRUE,TRUE
30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),pac,lawyers,601637.5,FALSE,TRUE
70001,Minn Chamber of Commerce Leadership Fd,pac,biz,580723.57,TRUE,TRUE
40404,IBEW Minn State Council PAC,pac,labor,543906.39,FALSE,TRUE
30230,Lockridge Grindal Nauen PLLP State Pol Fnd,pac,lawyers,502285.58,FALSE,TRUE
30119,IBEW Local 292 Political Education Fund,pac,labor,477259.87,FALSE,TRUE
80026,Minn Assoc of Professional Employees Political Fund,pac,labor,434944.88,FALSE,TRUE
30270,MAPE-PAC,pac,labor,415352.7,TRUE,TRUE
30093,SEIU Healthcare Minn (fka SEIU Local 113),pac,labor,394938.23,TRUE,TRUE
30225,TRIAL-PAC,pac,lawyers,390513.17,TRUE,TRUE
30636,TakeAction Political Fund,pac,prodfl,389811.98,TRUE,FALSE
70006,Minn Realtors Political Action Committee,pac,biz,380495.43,FALSE,TRUE
40940,MOHPA PAC,pac,biz,349069.76,TRUE,TRUE
30011,Minneapolis Regional Labor Federation,pac,labor,343185.3,TRUE,TRUE
30654,Public Safety Matters Campaign,pac,labor,277239.21,TRUE,FALSE
30623,Working America Minn Political Committee,pac,labor,272370.42,TRUE,FALSE
40038,"CAR, Committee of Automotive Retailers",pac,biz,266105.29,FALSE,TRUE
30124,Multi Housing Political Action Committee,pac,biz,264850,TRUE,TRUE
30060,Minn State Council of UNITE HERE Unions,pac,labor,256553.59,TRUE,TRUE
40714,Minn Hospital PAC,pac,biz,225832.58,TRUE,TRUE
30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),pac,labor,221862.21,FALSE,TRUE
30116,Dorsey Political Fund,pac,lawyers,218203.65,FALSE,TRUE
30013,Joint Council 32 DRIVE,pac,labor,216610,TRUE,TRUE
30258,RKM&C Fund,pac,lawyers,216342.43,FALSE,TRUE
30594,Boilermakers 647 Political Action Fund,pac,labor,212587.5,FALSE,TRUE
41049,State Fund for Economic Growth LLC,pac,biz,200000,FALSE,TRUE
30316,IBEW 110 PAC,pac,labor,197183.72,FALSE,TRUE
30629,Impact Minnesota Political Fund,pac,prodfl,192535.97,TRUE,FALSE
80023,Teamsters Local 120 DRIVE,pac,labor,192146,TRUE,TRUE
70005,Minn CPAs Public Affairs Committee,pac,biz,187150,TRUE,FALSE
30007,Minneapolis Municipal Retirement Assoc,pac,labor,187000,FALSE,TRUE
80008,Conservation Minnesota Voter Fund,pac,issue,179496.9,FALSE,FALSE
30022,Local 59 Political Fund,pac,labor,178630,FALSE,TRUE
40847,Emilys List - Minn,pac,issue,175788.42,FALSE,TRUE
30018,Minn Dental Political Action Committee,pac,biz,166400.5,FALSE,TRUE
30274,Beer PAC-Minn Beer Wholesalers Assoc,pac,biz,166080,FALSE,TRUE
30608,MN State Bldg & Construction Trades Cncl Pol Fund,pac,labor,162194.44,TRUE,TRUE
30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",pac,issue,159797.43,FALSE,TRUE
30308,IFO Political Action Committee Fund (Inter Faculty Organization),pac,labor,153160.72,FALSE,TRUE
40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),pac,biz,151300.88,FALSE,TRUE
30611,IUPAT Political Action Together Pol Committee,pac,labor,146201,FALSE,TRUE
40933,Putting Minnesota First,pac,prodfl,140850.48,TRUE,FALSE
40751,Minn Bank State PAC,pac,biz,136300,FALSE,TRUE
30242,Leonard Street and Deinard PAC,pac,lawyers,134450,FALSE,TRUE
30631,HRC Equality Votes Minnesota,pac,issue,130430.11,FALSE,TRUE
41050,Vote Racino Now Committee,pac,issue,121761.36,FALSE,FALSE
30588,Sheet Metal Workers PAC 10,pac,labor,120689.56,FALSE,TRUE
30108,MTA PAC (fka SITCO PAC),pac,biz,119975,FALSE,FALSE
40786,Messerli & Kramer Political Action Comm,pac,lawyers,118560,FALSE,TRUE
70026,Take Action PAC,pac,prodfl,116374.88,TRUE,TRUE
30325,St Paul Pipefitters Local 455 PAC,pac,labor,114717,FALSE,TRUE
30632,Minnesota - America Votes,pac,prodfl,109432.93,FALSE,FALSE
30092,Iron Workers Local 512,pac,labor,108014,FALSE,TRUE
30138,CARE / PAC,pac,biz,107525,FALSE,FALSE
41001,UFCW Active Ballot Club,pac,labor,107350,FALSE,FALSE
30550,Suburban School Emp Local 284 Pol Act Fund,pac,labor,106936.91,TRUE,TRUE
30315,Fond du Lac Committee of Political Ed,pac,indian,106600,FALSE,FALSE
40045,Committee of Thirteen Legislative Fund,pac,labor,105430,FALSE,TRUE
40745,United Steelworkers District 11 Non-Federal Acct,pac,labor,104000,TRUE,TRUE
40036,MEDPAC Minn Medical Political Action Comm,pac,biz,102130,FALSE,FALSE
