ComID,Committee,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,begincash2007,endcash2012
99999,2010/2012 Funds,Independent Expenditure,St Paul,MN,55104,,2/18/10 14:57,,,5.74
40835,21st Century Democrats,Political Committee,Washington,DC,20009,,8/11/00,12/19/07,14521.1,
40936,21st Senate District Republican Party,Political Committee,Marshall,MN,56258-3406,,3/24/05,6/29/09,1053.43,
40986,5th Judicial District Republican Committee,Political Committee,Lakefield,MN,56150,,9/24/07,11/28/11,0,
40403,8th Congressional District COPE AFL-CIO,Political Committee,Duluth,MN,55811,,10/17/74,12/31/08,2428.15,
41033,9th Judicial District Committee,Political Committee,Remer,MN,56672,,6/21/10 12:27,,,385.9
41088,A Stronger Minnesota,Independent Expenditure,Belle Plaine,MN,56011,www.astrongerminnesota.com,9/19/12 14:28,,,557.51
70047,ACEC/MN Political Action Committee,Political Committee,Minnetonka,MN,55305,,8/24/09 9:54,,,4266.13
30644,Action4Liberty,Independent Expenditure,Plymouth,MN,55447,www.action4liberty.com,12/27/11 9:07,,,23.64
30088,AFL-CIO Southeast Central Labor Council,Political Fund,Rochester,MN,55904,,11/12/74,8/21/08,3573.76,
30204,AFSCME,Political Fund,Washington,DC,20036,afscme.org,9/27/82,,0,0
30596,AFSCME Local 1842 City of St Paul Technicians,Political Fund,South St Paul,MN,55075-2469,,9/14/05,8/27/12,696.1,1006.1
40752,AFSCME Local 2508 Political,Political Committee,So St Paul,MN,55075-2469,,6/6/96 10:21,5/11/12,217.51,78.15
30586,AFSCME Local 2822 Political Action,Political Fund,Minneapolis,MN,55418,,7/8/04,,2545.7,3627.92
30343,AFSCME Local 2938,Political Fund,Minneapolis,MN,55415,,7/23/92,,2350.65,730.5
30572,AFSCME Local 306,Political Fund,West St Paul,MN,55118,,12/17/01,12/15/11,3703.85,
40753,AFSCME Local 34 PEOPLE,Political Committee,Minneapolis,MN,55415-0222,,6/6/96 15:31,,2708.74,1544.74
30243,AFSCME Local 8 People Fund,Political Fund,South St Paul,MN,55075,,1/1/90,,4079.33,4852.94
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,Political Fund,South St Paul,MN,55075,,5/19/05,,35296.45,46042.08
70024,Aging Services of Minn (fka MHHA PAC),Political Committee,St Paul,MN,55114,,8/13/01,,5071.37,9802.28
40086,Aitkin County DFL Club,Political Committee,Aitkin,MN,56431,,7/26/76,,705.16,1672.61
