ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother,ComID,Committee,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,begincash2007,endcash2012,ComID,Committee,cat1,cat2,IEdesignator,ComID,Committee,IE,pctie,ieprodfl,ieprorpm,ieother,candall,canddfl,candrpm,partyall,partydfl,partyrpm
80024,Alliance for a Better Minnesota Action Fund,Alliance Better MN,pac,ie,7166803.82,7162563.8,7162563.8,4240,4240,,,,9882936.5,9589385.2,,,293551.2,80024,Alliance for a Better Minnesota Action Fund,Independent Expenditure,St Paul,MN,55104,abetterminnesota.org,9/26/07,,0,2405.67,80024,Alliance for a Better Minnesota Action Fund,pac,prodfl,1,80024,Alliance for a Better Minnesota Action Fund,7162563.82,99.94083834,6824932.08,8758.83,328872.91,,,,,,
30625,WIN Minnesota Political Action Fund,WIN Minnesota,pac,ie,5697488.3,0,,5697488.3,5697488.3,,,,5737990.7,230461.9,,,5507528.8,30625,WIN Minnesota Political Action Fund,Independent Expenditure,St Paul,MN,55104,,12/16/09 16:11,,,8.01,30625,WIN Minnesota Political Action Fund,pac,prodfl,1,30625,WIN Minnesota Political Action Fund,,,,,,,,,,,
99999,2010/2012 Funds,2010/12 Funds,pac,ie,3942468.87,0,0,3942468.9,3942468.9,,,,3942388.9,2647770,,,1294618.9,99999,2010/2012 Funds,Independent Expenditure,St Paul,MN,55104,,2/18/10 14:57,,,5.74,99999,2010/2012 Funds,pac,prodfl,0,99999,2010/2012 Funds,,0,,,,,,,,,
30558,Education Minn PAC,Education Minnesota,pac,labor,3934330.44,3004475.4,1065266.2,2869064.2,929855,1782699,42325,114185.2,4769608.8,15130,,,4754478.9,30558,Education Minn PAC,Political Fund,St Paul,MN,55103,,9/15/98,,1200,154763.88,30558,Education Minn PAC,pac,labor,0,30558,Education Minn PAC,1065266.21,27.07617538,2305417.37,14973.82,8201.28,135750,133350,2400,1689274,1649349,39925
40742,Freedom Club State PAC,Freedom Club,pac,prorpm,2670407.37,2670407.4,1996367.4,674040,,,674040,,3196063,,,171463,3024600,40742,Freedom Club State PAC,Political Committee,Champlin,MN,55316,,11/2/95 11:36,,1564.29,2028.21,40742,Freedom Club State PAC,pac,prorpm,0,40742,Freedom Club State PAC,1996367.37,74.75890729,62966.08,2108068.65,,50940,,50940,623100,,623100
40989,Minnesota's Future,Minnesota's Future,pac,ie,2575655.13,2570655.1,2570655.1,5000,5000,,,,3455409.5,1352167.5,,263242,1840000,40989,Minnesota's Future,Independent Expenditure,St Paul,MN,55101,,11/27/07,,0,13036.55,40989,Minnesota's Future,pac,prorpm,1,40989,Minnesota's Future,2570655.13,99.80587463,14511.64,2376693.92,179449.57,,,,,,
30204,AFSCME,AFSCME,pac,labor,2317688,739420,5340,2312348,1578268,734080,,,,,,,,30204,AFSCME,Political Fund,Washington,DC,20036,afscme.org,9/27/82,,0,0,30204,AFSCME,pac,labor,0,30204,AFSCME,5340,0.230402021,63527,,,1500,1500,,732580,732580,
30037,SEIU Minn State Council Political Fund,SEIU State Council,pac,labor,2242378.62,1614435.9,109067.7,2133310.9,627942.7,1504118.2,1250,,1652327.2,368079.2,12248,,1272000,30037,SEIU Minn State Council Political Fund,Political Fund,St Paul,MN,55114,,9/5/74,,13995.89,75812.52,30037,SEIU Minn State Council Political Fund,pac,labor,0,30037,SEIU Minn State Council Political Fund,109067.72,4.863929714,254198.91,176.16,,72345,71095,1250,1433023.18,1433023.18,
40712,Laborers District Council of Minn & ND Pol Fund,Laborers District Council,pac,labor,1825250,1382850,,1825250,442400,1330900,1250,50000,1916596.3,1978.1,,,1914618.2,40712,Laborers District Council of Minn & ND Pol Fund,Political Fund,St Paul,MN,55117,,6/28/94,,3170.14,22757.14,40712,Laborers District Council of Minn & ND Pol Fund,pac,labor,0,40712,Laborers District Council of Minn & ND Pol Fund,,,,,,58200,56250,1250,1274650,1274650,
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,AFSCME Council 5,pac,labor,1514590.52,1011901.2,319730.7,1194859.8,502689.3,683720.5,3300,5150,2041199.9,1223268,6398.5,,811533.5,30593,AFSCME Minn PEOPLE Committee Council 5 PAC,Political Fund,South St Paul,MN,55075,,5/19/05,,35296.45,46042.08,30593,AFSCME Minn PEOPLE Committee Council 5 PAC,pac,labor,0,30593,AFSCME Minn PEOPLE Committee Council 5 PAC,319730.7,21.11004234,353723.02,2217.69,362.35,87725,84425,3300,599295.53,599295.53,
