ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother
80024,Alliance for a Better Minnesota Action Fund,Alliance Better MN,pac,ie,7166803.82,7162563.8,7162563.8,4240,4240,,,,9882936.5,9589385.2,,,293551.2
30625,WIN Minnesota Political Action Fund,WIN Minnesota,pac,ie,5697488.3,0,,5697488.3,5697488.3,,,,5737990.7,230461.9,,,5507528.8
99999,2010/2012 Funds,2010/12 Funds,pac,ie,3942468.87,0,0,3942468.9,3942468.9,,,,3942388.9,2647770,,,1294618.9
30558,Education Minn PAC,Education Minnesota,pac,labor,3934330.44,3004475.4,1065266.2,2869064.2,929855,1782699,42325,114185.2,4769608.8,15130,,,4754478.9
40742,Freedom Club State PAC,Freedom Club,pac,prorpm,2670407.37,2670407.4,1996367.4,674040,,,674040,,3196063,,,171463,3024600
40989,Minnesota's Future,Minnesota's Future,pac,ie,2575655.13,2570655.1,2570655.1,5000,5000,,,,3455409.5,1352167.5,,263242,1840000
30204,AFSCME,AFSCME,pac,labor,2317688,739420,5340,2312348,1578268,734080,,,,,,,
30037,SEIU Minn State Council Political Fund,SEIU State Council,pac,labor,2242378.62,1614435.9,109067.7,2133310.9,627942.7,1504118.2,1250,,1652327.2,368079.2,12248,,1272000
40712,Laborers District Council of Minn & ND Pol Fund,Laborers District Council,pac,labor,1825250,1382850,,1825250,442400,1330900,1250,50000,1916596.3,1978.1,,,1914618.2
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,AFSCME Council 5,pac,labor,1514590.52,1011901.2,319730.7,1194859.8,502689.3,683720.5,3300,5150,2041199.9,1223268,6398.5,,811533.5
40550,Shakopee Mdewakanton Sioux,Shakopee Mdew. Sioux,pac,indian,1464957,1460957,,1464957,4000,1274207,171750,15000,1175000,,,,1175000
41035,MN FORWARD,MN FORWARD,pac,ie,1413096.34,1413096.3,1413096.3,,,,,,1841729.8,101000,,,1740729.8
41051,Minnesota Future LLC,MN Future LLC,pac,ie,1346396.63,116492,116492,1229904.6,1229904.6,,,,2329000,5000,,,2324000
40815,DRIVE- Democrat Republican Ind. Voter Edu.,DRIVE,pac,labor,1122688.6,162000,,1122688.6,960688.6,162000,,,261914.6,,,,261914.6
30348,Mah Mah Wi No Min Fund I,Mah Mah Wi No Min,pac,indian,917062.28,906462.3,2602.3,914460,10600,818610,85250,,993750,,,,993750
70007,Coalition of MN Businesses PAC,Coalition MN Businesses,pac,biz,888732.36,866890.8,866890.8,21841.5,21841.5,,,,905061,903500,,,1561
30245,Minn Nurses Assn Pol Comm (MNA-PC),MN Nurses,pac,labor,862543.98,626939.4,287722.6,574821.4,235604.6,277516.8,1700,60000,743710.7,,,,743710.7
41047,Pro Jobs Majority,Pro Jobs Majority,pac,ie,784939.76,774939.8,774939.8,10000,10000,,,,886816.3,5500,,,881316.3
