ComID,Committee,IE,pctie,ieprodfl,ieprorpm,ieother,candall,canddfl,candrpm,partyall,partydfl,partyrpm
30558,Education Minn PAC,"$1,065,266.21 ",27.07617538,"$2,305,417.37 ","$14,973.82 ","$8,201.28 ","$135,750.00 ","$133,350.00 ","$2,400.00 ","$1,689,274.00 ","$1,649,349.00 ","$39,925.00 "
30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),,,,,,"$109,000.00 ","$54,050.00 ","$33,950.00 ","$464,687.50 ","$257,137.50 ","$207,550.00 "
30108,MTA PAC (fka SITCO PAC),,,,,,"$106,975.00 ","$47,775.00 ","$59,200.00 ","$13,000.00 ","$6,250.00 ","$6,750.00 "
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,"$319,730.70 ",21.11004234,"$353,723.02 ","$2,217.69 ",$362.35 ,"$87,725.00 ","$84,425.00 ","$3,300.00 ","$599,295.53 ","$599,295.53 ",
30018,Minn Dental Political Action Committee,,,,,,"$75,380.50 ","$38,405.50 ","$36,975.00 ","$87,520.00 ","$40,070.00 ","$47,450.00 "
30116,Dorsey Political Fund,,,,,,"$75,357.89 ","$39,775.00 ","$21,975.00 ","$129,027.76 ","$65,050.00 ","$63,977.76 "
30037,SEIU Minn State Council Political Fund,"$109,067.72 ",4.863929714,"$254,198.91 ",$176.16 ,,"$72,345.00 ","$71,095.00 ","$1,250.00 ","$1,433,023.18 ","$1,433,023.18 ",
30561,North Central States Carpenters PAC,"$22,638.55 ",3.329125436,"$37,684.07 ",,,"$70,431.50 ","$55,521.50 ","$14,910.00 ","$560,715.00 ","$489,795.00 ","$70,920.00 "
40940,MOHPA PAC,"$5,669.76 ",1.624248402,"$2,343.69 ","$3,326.07 ",,"$68,650.00 ","$21,950.00 ","$46,700.00 ","$274,500.00 ","$110,750.00 ","$163,750.00 "
30308,IFO Political Action Committee Fund (Inter Faculty Organization),"$1,270.72 ",0.82966442,"$1,627.42 ",$15.58 ,,"$65,000.00 ","$55,550.00 ","$9,450.00 ","$84,190.00 ","$80,190.00 ","$4,000.00 "
40712,Laborers District Council of Minn & ND Pol Fund,,,,,,"$58,200.00 ","$56,250.00 ","$1,250.00 ","$1,274,650.00 ","$1,274,650.00 ",
30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),"$3,607.21 ",1.625878513,$160.50 ,"$3,607.21 ",,"$57,700.00 ","$38,150.00 ","$19,550.00 ","$154,555.00 ","$102,555.00 ","$52,000.00 "
40268,womenwinning State PAC,"$4,000.00 ",6.677796327,"$12,218.42 ",,"$2,235.00 ","$55,900.00 ","$55,900.00 ",,,,
40550,Shakopee Mdewakanton Sioux,,,,,,"$55,475.00 ","$49,025.00 ","$6,450.00 ","$1,390,482.00 ","$1,225,182.00 ","$165,300.00 "
30192,Saint Paul Teachers Pension PAC,,,,,,"$54,950.00 ","$36,700.00 ","$18,250.00 ","$36,000.00 ","$17,800.00 ","$18,200.00 "
30058,International Union of Operating Engineers,"$6,049.44 ",0.982621773,"$6,049.44 ",,,"$53,675.00 ","$50,725.00 ","$2,950.00 ","$438,900.88 ","$436,000.88 ","$2,900.00 "
30348,Mah Mah Wi No Min Fund I,"$2,602.28 ",0.283762625,"$23,547.04 ",,,"$53,450.00 ","$43,200.00 ","$10,250.00 ","$850,410.00 ","$775,410.00 ","$75,000.00 "
30270,MAPE-PAC,"$3,584.96 ",0.863112242,"$3,584.96 ",,,"$52,650.00 ","$52,400.00 ",$250.00 ,"$305,350.00 ","$305,350.00 ",
30258,RKM&C Fund,,,,,,"$52,650.00 ","$11,900.00 ","$1,500.00 ","$118,275.00 ","$113,275.00 ","$5,000.00 "
40742,Freedom Club State PAC,"$1,996,367.37 ",74.75890729,"$62,966.08 ","$2,108,068.65 ",,"$50,940.00 ",,"$50,940.00 ","$623,100.00 ",,"$623,100.00 "
30119,IBEW Local 292 Political Education Fund,"$1,785.59 ",0.374133698,"$2,533.92 ",$47.86 ,,"$50,300.00 ","$49,800.00 ",$500.00 ,"$352,074.28 ","$352,074.28 ",
