ComID,Committee,totspend,topac,receivedtot,frompac,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,endcash2012,cat1,cat2,IEdesignator,IE,pctie,ieprodfl,ieprorpm,ieother,candall,canddfl,candrpm,partyall,partydfl,partyrpm
80024,Alliance for a Better Minnesota Action Fund,7166803.82,4240,9882936.5,9589385.2,Independent Expenditure,St Paul,MN,55104,abetterminnesota.org,9/26/07,,2405.67,pac,prodfl,1,7162563.82,99.94083834,6824932.08,8758.83,328872.91,,,,,,
30625,WIN Minnesota Political Action Fund,5697488.3,5697488.3,5737990.7,230461.9,Independent Expenditure,St Paul,MN,55104,,12/16/09 16:11,,8.01,pac,prodfl,1,,,,,,,,,,,
99999,2010/2012 Funds,3942468.87,3942468.9,3942388.9,2647770,Independent Expenditure,St Paul,MN,55104,,2/18/10 14:57,,5.74,pac,prodfl,0,,0,,,,,,,,,
30558,Education Minn PAC,3934330.44,929855,4769608.8,15130,Political Fund,St Paul,MN,55103,,9/15/98,,154763.88,pac,labor,0,1065266.21,27.07617538,2305417.37,14973.82,8201.28,135750,133350,2400,1689274,1649349,39925
40742,Freedom Club State PAC,2670407.37,,3196063,,Political Committee,Champlin,MN,55316,,11/2/95 11:36,,2028.21,pac,prorpm,0,1996367.37,74.75890729,62966.08,2108068.65,,50940,,50940,623100,,623100
40989,Minnesota's Future,2575655.13,5000,3455409.5,1352167.5,Independent Expenditure,St Paul,MN,55101,,11/27/07,,13036.55,pac,prorpm,1,2570655.13,99.80587463,14511.64,2376693.92,179449.57,,,,,,
30204,AFSCME,2317688,1578268,,,Political Fund,Washington,DC,20036,afscme.org,9/27/82,,0,pac,labor,0,5340,0.230402021,63527,,,1500,1500,,732580,732580,
30037,SEIU Minn State Council Political Fund,2242378.62,627942.7,1652327.2,368079.2,Political Fund,St Paul,MN,55114,,9/5/74,,75812.52,pac,labor,0,109067.72,4.863929714,254198.91,176.16,,72345,71095,1250,1433023.18,1433023.18,
40712,Laborers District Council of Minn & ND Pol Fund,1825250,442400,1916596.3,1978.1,Political Fund,St Paul,MN,55117,,6/28/94,,22757.14,pac,labor,0,,,,,,58200,56250,1250,1274650,1274650,
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,1514590.52,502689.3,2041199.9,1223268,Political Fund,South St Paul,MN,55075,,5/19/05,,46042.08,pac,labor,0,319730.7,21.11004234,353723.02,2217.69,362.35,87725,84425,3300,599295.53,599295.53,
40550,Shakopee Mdewakanton Sioux,1464957,4000,1175000,,Political Committee,Prior Lake,MN,55372,,2/23/89,,17642.74,pac,indian,0,,,,,,55475,49025,6450,1390482,1225182,165300
41035,MN FORWARD,1413096.34,,1841729.8,101000,Independent Expenditure,Minneapolis,MN,55402,,6/29/10 16:09,,114129.87,pac,prorpm,1,1413096.34,100,12206.08,1400890.26,,,,,,,
41051,Minnesota Future LLC,1346396.63,1229904.6,2329000,5000,Independent Expenditure,St Paul,MN,55128,,10/21/10 8:16,1/31/11,,pac,prorpm,1,116492,8.652131017,,116492,,,,,,,
40815,DRIVE- Democrat Republican Ind. Voter Edu.,1122688.6,960688.6,261914.6,,Political Committee,Washington,DC,20001,,11/13/98,,0,pac,labor,0,,,,,,,,,162000,162000,
